NAME_ENGL,ISO3_CODE,total,value,pillar_num,commitment_num,note,group,group_value,country_url,row_id,x,y,pillar_num_cardinal,pillar_txt,commitment_num_cardinal,commitment_txt_cardinal,fx,fy
Algeria,DZA,47.0757298297613,39,4,11,NA,Off course,Off course,countries/dza,3,3,37.51871294155717,4,Trust and resilience,11,Overall Resilience,3,0
Algeria,DZA,47.0757298297613,43.08,4,12,NA,Off course,Off course,countries/dza,3,3,44.769886743202804,4,Trust and resilience,12,Accountability Index,3,0
Angola,AGO,51.852740069807,49.9,1,1,NA,Getting on track,Off course,countries/ago,4,3,49.27694060523063,1,Connectivity and infrastructure,1,ICT Development Index,4,0
Angola,AGO,51.852740069807,100,1,2,NA,Getting on track,Leading,countries/ago,4,3,101.76920791622251,1,Connectivity and infrastructure,2,Global Internet Shutdowns,4,0
Angola,AGO,51.852740069807,25.25258296539876,1,3,NA,Getting on track,Off course,countries/ago,4,3,26.90228273251894,1,Connectivity and infrastructure,3,Network Readiness Index,4,0
Angola,AGO,51.852740069807,59,2,4,NA,Getting on track,Getting on track,countries/ago,4,3,57.20556077733636,2,Rights and freedoms,4,Freedom on the Net,4,0
Angola,AGO,51.852740069807,28,2,5,NA,Getting on track,Off course,countries/ago,4,3,29.74940885230899,2,Rights and freedoms,5,Freedom in the World,4,0
Angola,AGO,51.852740069807,42.64344702532744,2,6,NA,Getting on track,Off course,countries/ago,4,3,44.32549568789309,2,Rights and freedoms,6,Rule of Law Index,4,0
Angola,AGO,51.852740069807,85.93155893536121,3,7,NA,Getting on track,Leading,countries/ago,4,3,85.97055845001549,3,Responsibility and sustainability,7,Global E-Waste Monitor,4,0
Angola,AGO,51.852740069807,NA,3,8,NA,Getting on track,NA,countries/ago,4,3,NA,3,Responsibility and sustainability,8,Global Index on Responsible AI,4,0
Angola,AGO,51.852740069807,56.666666666666664,3,9,NA,Getting on track,Getting on track,countries/ago,4,3,58.59083779590825,3,Responsibility and sustainability,9,DTI Index,4,0
Angola,AGO,51.852740069807,39.63588517512337,4,10,NA,Getting on track,Off course,countries/ago,4,3,39.356154808580435,4,Trust and resilience,10,Global Cybersecurity Index,4,0
Angola,AGO,51.852740069807,31,4,11,NA,Getting on track,Off course,countries/ago,4,3,31.249264556914568,4,Trust and resilience,11,Overall Resilience,4,0
Angola,AGO,51.852740069807,52.35,4,12,NA,Getting on track,Getting on track,countries/ago,4,3,53.15247991345823,4,Trust and resilience,12,Accountability Index,4,0
Argentina,ARG,64.9397086956772,83.4,1,1,NA,Getting on track,Leading,countries/arg,5,3,84.61356965694577,1,Connectivity and infrastructure,1,ICT Development Index,0,1
Argentina,ARG,64.9397086956772,100,1,2,NA,Getting on track,Leading,countries/arg,5,3,99.08502332586795,1,Connectivity and infrastructure,2,Global Internet Shutdowns,0,1
Argentina,ARG,64.9397086956772,48.99230616604591,1,3,NA,Getting on track,Off course,countries/arg,5,3,48.74687336822653,1,Connectivity and infrastructure,3,Network Readiness Index,0,1
Argentina,ARG,64.9397086956772,71,2,4,NA,Getting on track,On track,countries/arg,5,3,71.96687683556229,2,Rights and freedoms,4,Freedom on the Net,0,1
Argentina,ARG,64.9397086956772,85,2,5,NA,Getting on track,Leading,countries/arg,5,3,83.56312240939587,2,Rights and freedoms,5,Freedom in the World,0,1
Argentina,ARG,64.9397086956772,54.5865122456575,2,6,NA,Getting on track,Getting on track,countries/arg,5,3,55.65321356286353,2,Rights and freedoms,6,Rule of Law Index,0,1
Argentina,ARG,64.9397086956772,58.55513307984791,3,7,NA,Getting on track,Getting on track,countries/arg,5,3,59.25194957360498,3,Responsibility and sustainability,7,Global E-Waste Monitor,0,1
Argentina,ARG,64.9397086956772,21.95,3,8,NA,Getting on track,Off course,countries/arg,5,3,20.223396654985844,3,Responsibility and sustainability,8,Global Index on Responsible AI,0,1
Argentina,ARG,64.9397086956772,60.9375,3,9,NA,Getting on track,Getting on track,countries/arg,5,3,59.842210662551224,3,Responsibility and sustainability,9,DTI Index,0,1
Argentina,ARG,64.9397086956772,51.52505285657585,4,10,NA,Getting on track,Getting on track,countries/arg,5,3,51.105028957981766,4,Trust and resilience,10,Global Cybersecurity Index,0,1
Argentina,ARG,64.9397086956772,58,4,11,NA,Getting on track,Getting on track,countries/arg,5,3,56.9748362749815,4,Trust and resilience,11,Overall Resilience,0,1
Argentina,ARG,64.9397086956772,85.33,4,12,NA,Getting on track,Leading,countries/arg,5,3,86.88102534312755,4,Trust and resilience,12,Accountability Index,0,1
Armenia,ARM,61.58949327051,86.4,1,1,NA,Getting on track,Leading,countries/arm,6,3,88.18033568803222,1,Connectivity and infrastructure,1,ICT Development Index,1,1
Armenia,ARM,61.58949327051,100,1,2,NA,Getting on track,Leading,countries/arm,6,3,101.19885591603816,1,Connectivity and infrastructure,2,Global Internet Shutdowns,1,1
Armenia,ARM,61.58949327051,49.54269819290719,1,3,NA,Getting on track,Off course,countries/arm,6,3,50.38267979168675,1,Connectivity and infrastructure,3,Network Readiness Index,1,1
Armenia,ARM,61.58949327051,74,2,4,NA,Getting on track,On track,countries/arm,6,3,73.00606805831194,2,Rights and freedoms,4,Freedom on the Net,1,1
Armenia,ARM,61.58949327051,54,2,5,NA,Getting on track,Getting on track,countries/arm,6,3,53.16977041680366,2,Rights and freedoms,5,Freedom in the World,1,1
Armenia,ARM,61.58949327051,NA,2,6,NA,Getting on track,NA,countries/arm,6,3,NA,2,Rights and freedoms,6,Rule of Law Index,1,1
Armenia,ARM,61.58949327051,72.24334600760456,3,7,NA,Getting on track,On track,countries/arm,6,3,71.62424420199211,3,Responsibility and sustainability,7,Global E-Waste Monitor,1,1
Armenia,ARM,61.58949327051,3.3,3,8,NA,Getting on track,Off course,countries/arm,6,3,3.3315884351730345,3,Responsibility and sustainability,8,Global Index on Responsible AI,1,1
Armenia,ARM,61.58949327051,NA,3,9,NA,Getting on track,NA,countries/arm,6,3,NA,3,Responsibility and sustainability,9,DTI Index,1,1
Armenia,ARM,61.58949327051,53.95888850458859,4,10,NA,Getting on track,Getting on track,countries/arm,6,3,54.67044798371344,4,Trust and resilience,10,Global Cybersecurity Index,1,1
Armenia,ARM,61.58949327051,49,4,11,NA,Getting on track,Off course,countries/arm,6,3,47.28081348724663,4,Trust and resilience,11,Overall Resilience,1,1
Armenia,ARM,61.58949327051,73.45,4,12,NA,Getting on track,On track,countries/arm,6,3,71.45569144263864,4,Trust and resilience,12,Accountability Index,1,1
Australia,AUS,76.6871285399518,95.1,1,1,NA,On track,Leading,countries/aus,7,3,93.23559014350175,1,Connectivity and infrastructure,1,ICT Development Index,2,1
Australia,AUS,76.6871285399518,100,1,2,NA,On track,Leading,countries/aus,7,3,98.1326215788722,1,Connectivity and infrastructure,2,Global Internet Shutdowns,2,1
Australia,AUS,76.6871285399518,69.42695450959522,1,3,NA,On track,On track,countries/aus,7,3,68.32286646021325,1,Connectivity and infrastructure,3,Network Readiness Index,2,1
Australia,AUS,76.6871285399518,76,2,4,NA,On track,On track,countries/aus,7,3,76.94490593764931,2,Rights and freedoms,4,Freedom on the Net,2,1
Australia,AUS,76.6871285399518,95,2,5,NA,On track,Leading,countries/aus,7,3,96.81577412225306,2,Rights and freedoms,5,Freedom in the World,2,1
Australia,AUS,76.6871285399518,79.79644923723296,2,6,NA,On track,Leading,countries/aus,7,3,81.44197492646978,2,Rights and freedoms,6,Rule of Law Index,2,1
Australia,AUS,76.6871285399518,16.7300380228137,3,7,NA,On track,Off course,countries/aus,7,3,18.49907016493877,3,Responsibility and sustainability,7,Global E-Waste Monitor,2,1
Australia,AUS,76.6871285399518,56.22,3,8,NA,On track,Getting on track,countries/aus,7,3,55.53642869859934,3,Responsibility and sustainability,8,Global Index on Responsible AI,2,1
Australia,AUS,76.6871285399518,88.22916666666667,3,9,NA,On track,Leading,countries/aus,7,3,89.38642615421365,3,Responsibility and sustainability,9,DTI Index,2,1
Australia,AUS,76.6871285399518,96.24293404311399,4,10,NA,On track,Leading,countries/aus,7,3,96.96037650719742,4,Trust and resilience,10,Global Cybersecurity Index,2,1
Australia,AUS,76.6871285399518,54,4,11,NA,On track,Getting on track,countries/aus,7,3,55.482646501623094,4,Trust and resilience,11,Overall Resilience,2,1
Australia,AUS,76.6871285399518,93.5,4,12,NA,On track,Leading,countries/aus,7,3,92.88568140286952,4,Trust and resilience,12,Accountability Index,2,1
Austria,AUT,73.9623276695173,94.3,1,1,NA,On track,Leading,countries/aut,8,3,94.64312157239765,1,Connectivity and infrastructure,1,ICT Development Index,3,1
Austria,AUT,73.9623276695173,100,1,2,NA,On track,Leading,countries/aut,8,3,101.0228617945686,1,Connectivity and infrastructure,2,Global Internet Shutdowns,3,1
Austria,AUT,73.9623276695173,66.05356345347677,1,3,NA,On track,On track,countries/aut,8,3,67.82702580861364,1,Connectivity and infrastructure,3,Network Readiness Index,3,1
Austria,AUT,73.9623276695173,NA,2,4,NA,On track,NA,countries/aut,8,3,NA,2,Rights and freedoms,4,Freedom on the Net,3,1
Austria,AUT,73.9623276695173,93,2,5,NA,On track,Leading,countries/aut,8,3,93.82846036646515,2,Rights and freedoms,5,Freedom in the World,3,1
Austria,AUT,73.9623276695173,79.35704110462956,2,6,NA,On track,Leading,countries/aut,8,3,79.84746364124857,2,Rights and freedoms,6,Rule of Law Index,3,1
Austria,AUT,73.9623276695173,27.3764258555133,3,7,NA,On track,Off course,countries/aut,8,3,27.62178908633032,3,Responsibility and sustainability,7,Global E-Waste Monitor,3,1
Austria,AUT,73.9623276695173,35.76,3,8,NA,On track,Off course,countries/aut,8,3,36.62103719100356,3,Responsibility and sustainability,8,Global Index on Responsible AI,3,1
Austria,AUT,73.9623276695173,83.64583333333333,3,9,NA,On track,Leading,countries/aut,8,3,82.48852631946404,3,Responsibility and sustainability,9,DTI Index,3,1
Austria,AUT,73.9623276695173,89.14274061773781,4,10,NA,On track,Leading,countries/aut,8,3,89.12015408393805,4,Trust and resilience,10,Global Cybersecurity Index,3,1
Austria,AUT,73.9623276695173,56,4,11,NA,On track,Getting on track,countries/aut,8,3,56.030658579431474,4,Trust and resilience,11,Overall Resilience,3,1
Austria,AUT,73.9623276695173,88.95,4,12,NA,On track,Leading,countries/aut,8,3,87.77105745654553,4,Trust and resilience,12,Accountability Index,3,1
Azerbaijan,AZE,45.0295229197688,80.4,1,1,NA,Off course,Leading,countries/aze,9,3,80.75914935916663,1,Connectivity and infrastructure,1,ICT Development Index,4,1
Azerbaijan,AZE,45.0295229197688,39.71382944503397,1,2,NA,Off course,Off course,countries/aze,9,3,38.495102596781855,1,Connectivity and infrastructure,2,Global Internet Shutdowns,4,1
Azerbaijan,AZE,45.0295229197688,46.07581139281476,1,3,NA,Off course,Off course,countries/aze,9,3,46.137678085082115,1,Connectivity and infrastructure,3,Network Readiness Index,4,1
Azerbaijan,AZE,45.0295229197688,34,2,4,NA,Off course,Off course,countries/aze,9,3,32.30057950038463,2,Rights and freedoms,4,Freedom on the Net,4,1
Azerbaijan,AZE,45.0295229197688,7,2,5,NA,Off course,Off course,countries/aze,9,3,5.144198861904442,2,Rights and freedoms,5,Freedom in the World,4,1
Azerbaijan,AZE,45.0295229197688,NA,2,6,NA,Off course,NA,countries/aze,9,3,NA,2,Rights and freedoms,6,Rule of Law Index,4,1
Azerbaijan,AZE,45.0295229197688,68.82129277566541,3,7,NA,Off course,On track,countries/aze,9,3,69.76195337621589,3,Responsibility and sustainability,7,Global E-Waste Monitor,4,1
Azerbaijan,AZE,45.0295229197688,5.86,3,8,NA,Off course,Off course,countries/aze,9,3,6.094375751577318,3,Responsibility and sustainability,8,Global Index on Responsible AI,4,1
Azerbaijan,AZE,45.0295229197688,NA,3,9,NA,Off course,NA,countries/aze,9,3,NA,3,Responsibility and sustainability,9,DTI Index,4,1
Azerbaijan,AZE,45.0295229197688,93.92429558417427,4,10,NA,Off course,Leading,countries/aze,9,3,95.04585864624607,4,Trust and resilience,10,Global Cybersecurity Index,4,1
Azerbaijan,AZE,45.0295229197688,47,4,11,NA,Off course,Off course,countries/aze,9,3,45.91703003272414,4,Trust and resilience,11,Overall Resilience,4,1
Azerbaijan,AZE,45.0295229197688,27.5,4,12,NA,Off course,Off course,countries/aze,9,3,26.62030903622508,4,Trust and resilience,12,Accountability Index,4,1
Bahamas,BHS,63.7631333197348,89.3,1,1,NA,Getting on track,Leading,countries/bhs,10,3,88.32499012742191,1,Connectivity and infrastructure,1,ICT Development Index,0,2
Bahamas,BHS,63.7631333197348,100,1,2,NA,Getting on track,Leading,countries/bhs,10,3,101.80545740295202,1,Connectivity and infrastructure,2,Global Internet Shutdowns,0,2
Bahamas,BHS,63.7631333197348,NA,1,3,NA,Getting on track,NA,countries/bhs,10,3,NA,1,Connectivity and infrastructure,3,Network Readiness Index,0,2
Bahamas,BHS,63.7631333197348,NA,2,4,NA,Getting on track,NA,countries/bhs,10,3,NA,2,Rights and freedoms,4,Freedom on the Net,0,2
Bahamas,BHS,63.7631333197348,90,2,5,NA,Getting on track,Leading,countries/bhs,10,3,90.01852808892727,2,Rights and freedoms,5,Freedom in the World,0,2
Bahamas,BHS,63.7631333197348,58.9543069114535,2,6,NA,Getting on track,Getting on track,countries/bhs,10,3,57.7317174950241,2,Rights and freedoms,6,Rule of Law Index,0,2
Bahamas,BHS,63.7631333197348,34.60076045627377,3,7,NA,Getting on track,Off course,countries/bhs,10,3,33.710576277325366,3,Responsibility and sustainability,7,Global E-Waste Monitor,0,2
Bahamas,BHS,63.7631333197348,NA,3,8,NA,Getting on track,NA,countries/bhs,10,3,NA,3,Responsibility and sustainability,8,Global Index on Responsible AI,0,2
Bahamas,BHS,63.7631333197348,66.25,3,9,NA,Getting on track,On track,countries/bhs,10,3,66.69517068564892,3,Responsibility and sustainability,9,DTI Index,0,2
Bahamas,BHS,63.7631333197348,33.99999919015123,4,10,NA,Getting on track,Off course,countries/bhs,10,3,34.924748411803975,4,Trust and resilience,10,Global Cybersecurity Index,0,2
Bahamas,BHS,63.7631333197348,37,4,11,NA,Getting on track,Off course,countries/bhs,10,3,38.039940886199474,4,Trust and resilience,11,Overall Resilience,0,2
Bahamas,BHS,63.7631333197348,NA,4,12,NA,Getting on track,NA,countries/bhs,10,3,NA,4,Trust and resilience,12,Accountability Index,0,2
Bahrain,BHR,53.7388628695982,97.5,1,1,NA,Getting on track,Leading,countries/bhr,11,3,97.65362012479454,1,Connectivity and infrastructure,1,ICT Development Index,1,2
Bahrain,BHR,53.7388628695982,100,1,2,NA,Getting on track,Leading,countries/bhr,11,3,99.97763130255044,1,Connectivity and infrastructure,2,Global Internet Shutdowns,1,2
Bahrain,BHR,53.7388628695982,53.49549918474491,1,3,NA,Getting on track,Getting on track,countries/bhr,11,3,52.47680081466074,1,Connectivity and infrastructure,3,Network Readiness Index,1,2
Bahrain,BHR,53.7388628695982,28,2,4,NA,Getting on track,Off course,countries/bhr,11,3,29.332549280487,2,Rights and freedoms,4,Freedom on the Net,1,2
Bahrain,BHR,53.7388628695982,12,2,5,NA,Getting on track,Off course,countries/bhr,11,3,12.604431548155844,2,Rights and freedoms,5,Freedom in the World,1,2
Bahrain,BHR,53.7388628695982,NA,2,6,NA,Getting on track,NA,countries/bhr,11,3,NA,2,Rights and freedoms,6,Rule of Law Index,1,2
Bahrain,BHR,53.7388628695982,34.22053231939164,3,7,NA,Getting on track,Off course,countries/bhr,11,3,33.09921121306208,3,Responsibility and sustainability,7,Global E-Waste Monitor,1,2
Bahrain,BHR,53.7388628695982,8.71,3,8,NA,Getting on track,Off course,countries/bhr,11,3,10.446983603797854,3,Responsibility and sustainability,8,Global Index on Responsible AI,1,2
Bahrain,BHR,53.7388628695982,74.58333333333333,3,9,NA,Getting on track,On track,countries/bhr,11,3,74.33326898546268,3,Responsibility and sustainability,9,DTI Index,1,2
Bahrain,BHR,53.7388628695982,97.9381267281106,4,10,NA,Getting on track,Leading,countries/bhr,11,3,98.24157707969158,4,Trust and resilience,10,Global Cybersecurity Index,1,2
Bahrain,BHR,53.7388628695982,52,4,11,NA,Getting on track,Getting on track,countries/bhr,11,3,51.67460194323212,4,Trust and resilience,11,Overall Resilience,1,2
Bahrain,BHR,53.7388628695982,32.68,4,12,NA,Getting on track,Off course,countries/bhr,11,3,33.00260307576507,4,Trust and resilience,12,Accountability Index,1,2
Bangladesh,BGD,54.3162341458738,62,1,1,NA,Getting on track,Getting on track,countries/bgd,12,3,61.225355779752135,1,Connectivity and infrastructure,1,ICT Development Index,2,2
Bangladesh,BGD,54.3162341458738,24.56200028609957,1,2,NA,Getting on track,Off course,countries/bgd,12,3,25.023846128289655,1,Connectivity and infrastructure,2,Global Internet Shutdowns,2,2
Bangladesh,BGD,54.3162341458738,43.55988355077744,1,3,NA,Getting on track,Off course,countries/bgd,12,3,44.668059013820596,1,Connectivity and infrastructure,3,Network Readiness Index,2,2
Bangladesh,BGD,54.3162341458738,40,2,4,NA,Getting on track,Off course,countries/bgd,12,3,40.61808938533068,2,Rights and freedoms,4,Freedom on the Net,2,2
Bangladesh,BGD,54.3162341458738,45,2,5,NA,Getting on track,Off course,countries/bgd,12,3,46.61033066827804,2,Rights and freedoms,5,Freedom in the World,2,2
Bangladesh,BGD,54.3162341458738,38.61090541178971,2,6,NA,Getting on track,Off course,countries/bgd,12,3,39.476004580172294,2,Rights and freedoms,6,Rule of Law Index,2,2
Bangladesh,BGD,54.3162341458738,93.5361216730038,3,7,NA,Getting on track,Leading,countries/bgd,12,3,92.95859391061313,3,Responsibility and sustainability,7,Global E-Waste Monitor,2,2
Bangladesh,BGD,54.3162341458738,NA,3,8,NA,Getting on track,NA,countries/bgd,12,3,NA,3,Responsibility and sustainability,8,Global Index on Responsible AI,2,2
Bangladesh,BGD,54.3162341458738,NA,3,9,NA,Getting on track,NA,countries/bgd,12,3,NA,3,Responsibility and sustainability,9,DTI Index,2,2
Bangladesh,BGD,54.3162341458738,96.96343053706809,4,10,NA,Getting on track,Leading,countries/bgd,12,3,96.32852489796355,4,Trust and resilience,10,Global Cybersecurity Index,2,2
Bangladesh,BGD,54.3162341458738,54,4,11,NA,Getting on track,Getting on track,countries/bgd,12,3,52.921470678411424,4,Trust and resilience,11,Overall Resilience,2,2
Bangladesh,BGD,54.3162341458738,44.93,4,12,NA,Getting on track,Off course,countries/bgd,12,3,43.68041678920388,4,Trust and resilience,12,Accountability Index,2,2
Barbados,BRB,62.457739011484,77.5,1,1,NA,Getting on track,On track,countries/brb,13,3,75.84827976766974,1,Connectivity and infrastructure,1,ICT Development Index,3,2
Barbados,BRB,62.457739011484,100,1,2,NA,Getting on track,Leading,countries/brb,13,3,98.50808358285576,1,Connectivity and infrastructure,2,Global Internet Shutdowns,3,2
Barbados,BRB,62.457739011484,NA,1,3,NA,Getting on track,NA,countries/brb,13,3,NA,1,Connectivity and infrastructure,3,Network Readiness Index,3,2
Barbados,BRB,62.457739011484,NA,2,4,NA,Getting on track,NA,countries/brb,13,3,NA,2,Rights and freedoms,4,Freedom on the Net,3,2
Barbados,BRB,62.457739011484,94,2,5,NA,Getting on track,Leading,countries/brb,13,3,92.21459347102791,2,Rights and freedoms,5,Freedom in the World,3,2
Barbados,BRB,62.457739011484,65.88176470963782,2,6,NA,Getting on track,On track,countries/brb,13,3,66.6699174965409,2,Rights and freedoms,6,Rule of Law Index,3,2
Barbados,BRB,62.457739011484,46.00760456273765,3,7,NA,Getting on track,Off course,countries/brb,13,3,46.10397844674498,3,Responsibility and sustainability,7,Global E-Waste Monitor,3,2
Barbados,BRB,62.457739011484,1.92,3,8,NA,Getting on track,Off course,countries/brb,13,3,3.4580828035995363,3,Responsibility and sustainability,8,Global Index on Responsible AI,3,2
Barbados,BRB,62.457739011484,75.3125,3,9,NA,Getting on track,On track,countries/brb,13,3,74.13355443440378,3,Responsibility and sustainability,9,DTI Index,3,2
Barbados,BRB,62.457739011484,36.60552084246504,4,10,NA,Getting on track,Off course,countries/brb,13,3,34.95354783894348,4,Trust and resilience,10,Global Cybersecurity Index,3,2
Barbados,BRB,62.457739011484,43,4,11,NA,Getting on track,Off course,countries/brb,13,3,42.10377518367022,4,Trust and resilience,11,Overall Resilience,3,2
Barbados,BRB,62.457739011484,84.35,4,12,NA,Getting on track,Leading,countries/brb,13,3,83.42510168850421,4,Trust and resilience,12,Accountability Index,3,2
Belarus,BLR,38.3376174324286,88.5,1,1,NA,Off course,Leading,countries/blr,14,3,88.3469557305798,1,Connectivity and infrastructure,1,ICT Development Index,4,2
Belarus,BLR,38.3376174324286,42.70993058942946,1,2,NA,Off course,Off course,countries/blr,14,3,42.53449511249306,1,Connectivity and infrastructure,2,Global Internet Shutdowns,4,2
Belarus,BLR,38.3376174324286,NA,1,3,NA,Off course,NA,countries/blr,14,3,NA,1,Connectivity and infrastructure,3,Network Readiness Index,4,2
Belarus,BLR,38.3376174324286,22,2,4,NA,Off course,Off course,countries/blr,14,3,22.618314277380705,2,Rights and freedoms,4,Freedom on the Net,4,2
Belarus,BLR,38.3376174324286,7,2,5,NA,Off course,Off course,countries/blr,14,3,5.978530719876289,2,Rights and freedoms,5,Freedom in the World,4,2
Belarus,BLR,38.3376174324286,44.65431687993765,2,6,NA,Off course,Off course,countries/blr,14,3,43.99611978338868,2,Rights and freedoms,6,Rule of Law Index,4,2
Belarus,BLR,38.3376174324286,57.79467680608365,3,7,NA,Off course,Getting on track,countries/blr,14,3,59.59098291141424,3,Responsibility and sustainability,7,Global E-Waste Monitor,4,2
Belarus,BLR,38.3376174324286,2.06,3,8,NA,Off course,Off course,countries/blr,14,3,1.059041561037302,3,Responsibility and sustainability,8,Global Index on Responsible AI,4,2
Belarus,BLR,38.3376174324286,NA,3,9,NA,Off course,NA,countries/blr,14,3,NA,3,Responsibility and sustainability,9,DTI Index,4,2
Belarus,BLR,38.3376174324286,61.52725004883585,4,10,NA,Off course,Getting on track,countries/blr,14,3,60.34557192972032,4,Trust and resilience,10,Global Cybersecurity Index,4,2
